Block Name,Point ID,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,27,1e-05,0,0,0.0501442,0,0.0161592,0.25,0.250522,-1.50048e-05,-0.00203809,1.05972,1.05972
internalMesh,28,1e-05,0,0,0.050119,0,0.0210379,0.25,0.250884,-1.58727e-05,-0.00238334,1.06004,1.06005
internalMesh,29,1e-05,0,0,0.0501027,0,0.0241819,0.25,0.251167,-1.64321e-05,-0.00260583,1.06025,1.06026
internalMesh,30,1e-05,0,0,0.0501027,0,0.0241819,0.25,0.251167,-1.64321e-05,-0.00260583,1.06025,1.06026
internalMesh,31,1e-05,0,0,0.0499775,0,0.0284145,0.25,0.25161,-1.54903e-05,-0.00328549,1.06069,1.0607
internalMesh,32,1e-05,0,0,0.0499775,0,0.0284145,0.25,0.25161,-1.54903e-05,-0.00328549,1.06069,1.0607
internalMesh,33,1e-05,0,0,0.0499775,0,0.0284145,0.25,0.25161,-1.54903e-05,-0.00328549,1.06069,1.0607
internalMesh,34,1e-05,0,0,0.0498674,0,0.0321362,0.25,0.252057,-1.46622e-05,-0.00388313,1.06107,1.06108
internalMesh,35,1e-05,0,0,0.0498674,0,0.0321362,0.25,0.252057,-1.46622e-05,-0.00388313,1.06107,1.06108
internalMesh,36,1e-05,0,0,0.0497618,0,0.0348645,0.25,0.252419,-1.42742e-05,-0.00425528,1.06132,1.06133
internalMesh,37,1e-05,0,0,0.049563,0,0.04,0.25,0.25318,-1.35439e-05,-0.0049558,1.06179,1.0618
internalMesh,38,1e-05,0,0,0.049563,0,0.04,0.25,0.25318,-1.35439e-05,-0.0049558,1.06179,1.0618
internalMesh,39,1e-05,0,0,0.0494806,0,0.0438571,0.25,0.253818,-9.92387e-06,-0.00526604,1.06341,1.06343
internalMesh,40,1e-05,0,0,0.0494806,0,0.0438571,0.25,0.253818,-9.92387e-06,-0.00526604,1.06341,1.06343
internalMesh,41,1e-05,0,0,0.0494806,0,0.0438571,0.25,0.253818,-9.92387e-06,-0.00526604,1.06341,1.06343
internalMesh,42,1e-05,0,0,0.0494518,0,-0.046,0.25,0.254197,-1.1025e-05,0.00543859,1.06431,1.06433
internalMesh,43,1e-05,0,0,0.0494347,0,0.046,0.25,0.254197,-7.91275e-06,-0.00543839,1.06432,1.06433
internalMesh,44,1e-05,0,0,0.0494347,0,0.046,0.25,0.254197,-7.91275e-06,-0.00543839,1.06432,1.06433
internalMesh,45,1e-05,0,0,0.0493978,0,0.052,0.25,0.255351,-3.82913e-06,-0.00624901,1.08493,1.08495
internalMesh,46,1e-05,0,0,0.0493978,0,0.052,0.25,0.255351,-3.82913e-06,-0.00624901,1.08493,1.08495
internalMesh,47,1e-05,0,0,0.0493644,0,0.058,0.25,0.25664,-7.57012e-06,-0.00807856,1.10749,1.10752
internalMesh,48,1e-05,0,0,0.0493644,0,0.058,0.25,0.25664,-7.57012e-06,-0.00807856,1.10749,1.10752
internalMesh,49,1e-05,0,0,0.0493126,0,0.064,0.25,0.258062,-9.22225e-06,-0.00688009,0.871257,0.871284
internalMesh,50,1e-05,0,0,0.0493126,0,0.064,0.25,0.258062,-9.22225e-06,-0.00688009,0.871257,0.871284
internalMesh,51,1e-05,5.44639e-06,0,0.0492893,0,0.07,0.25,0.259615,0,0,0,0
internalMesh,52,1e-05,0,0,0.0494518,0,-0.046,0.25,0.254197,-1.1025e-05,0.00543859,1.06431,1.06433
internalMesh,53,1e-05,0,0,0.0494518,0,-0.046,0.25,0.254197,-1.1025e-05,0.00543859,1.06431,1.06433
internalMesh,54,1e-05,0,0,0.0494168,0,-0.052,0.25,0.255351,-1.21979e-05,0.00623689,1.08492,1.08494
internalMesh,55,1e-05,0,0,0.0494168,0,-0.052,0.25,0.255351,-1.21979e-05,0.00623689,1.08492,1.08494
internalMesh,56,1e-05,0,0,0.0493831,0,-0.058,0.25,0.25664,-9.79088e-06,0.00804966,1.10752,1.10755
internalMesh,57,1e-05,0,0,0.0493831,0,-0.058,0.25,0.25664,-9.79088e-06,0.00804966,1.10752,1.10755
internalMesh,58,1e-05,0,0,0.0493316,0,-0.064,0.25,0.258062,-8.52731e-06,0.00684947,0.871449,0.871476
internalMesh,59,1e-05,0,0,0.0493316,0,-0.064,0.25,0.258062,-8.52731e-06,0.00684947,0.871449,0.871476
internalMesh,60,1e-05,5.44979e-06,0,0.0493082,0,-0.07,0.25,0.259615,0,0,0,0
